150,N,Unknown,Unknown,2006,NW
151,N,Bungalow,Detached,1950,OS
152,N,Unknown,Unknown,1900,NW
153,N,House,Mid Terraced,1940,SW
154,N,House,Mid Terraced,1965,SW
155,N,Bungalow,Semi-Detached,1965,NW
156,N,House,Semi-Detached,1930,SW
157,N,House,Semi-Detached,1961,YH
158,N,House,Mid Terraced,1900,WS
159,N,House,End Terrace,1958,SW
160,N,House,End Terrace,1995,SW
161,N,House,Detached,1998,OS
162,N,House,Detached,1981,SW
163,N,House,End Terrace,1850,OS
164,N,House,Detached,1901,SW
165,N,House,Detached,2007,NW
166,N,House,End Terrace,1897,SW
167,N,House,Detached,1980,OS
168,N,Flat,Unknown,1900,OM
169,N,House,Mid Terraced,1900,WS
170,N,House,Mid Terraced,1902,OS
171,N,House,Mid Terraced,1860,YH
172,N,House,Mid Terraced,1933,LN
173,N,House,Detached,1985,EM
174,N,House,Mid Terraced,1930,LN
175,N,Flat,Unknown,1910,LN
176,N,House,Mid Terraced,1900,WM
177,N,House,Mid Terraced,1913,WS
178,N,House,Mid Terraced,1925,LN
179,N,House,Mid Terraced,1995,OM
180,N,House,Detached,1990,OS
181,N,House,Mid Terraced,1900,YH
182,N,House,Semi-Detached,2006,NW
183,N,House,Mid Terraced,1986,OM
184,N,House,Semi-Detached,1925,EA
185,N,Flat,Unknown,1990,SW
186,N,Flat,Unknown,1999,WM
187,N,Flat,Unknown,1951,NW
188,N,Maisonette,Unknown,1901,LN
189,N,Flat,Unknown,1986,LN
190,N,House,Mid Terraced,1935,LN
191,N,House,Mid Terraced,1902,LN
192,N,House,Semi-Detached,1950,OM
193,N,Flat,Unknown,1999,LN
194,N,House,Mid Terraced,1902,EM
195,N,House,Mid Terraced,1900,NW
196,N,House,Mid Terraced,1900,YH
197,N,Flat,Unknown,1994,LN
198,N,House,Mid Terraced,1920,SW
199,N,House,Mid Terraced,1972,SW
200,N,House,Mid Terraced,1890,EM
201,N,Flat,Unknown,1996,OM
202,N,Flat,Unknown,1935,LN
203,N,House,Mid Terraced,1903,NW
204,N,House,Mid Terraced,1875,WS
205,N,Unknown,Unknown,2003,EA
206,N,Flat,Unknown,1935,LN
207,N,House,Mid Terraced,1978,OM
208,N,House,Semi-Detached,1985,YH
209,N,House,Semi-Detached,1970,OM
210,N,House,Mid Terraced,1908,SW
211,N,House,Mid Terraced,1903,NW
212,N,Flat,Unknown,1880,LN
213,N,House,Mid Terraced,1900,YH
214,N,Flat,Unknown,2003,YH
215,N,House,Mid Terraced,1914,NT
216,N,House,Mid Terraced,1904,NW
217,N,House,Mid Terraced,1904,YH
218,N,House,Mid Terraced,1929,NW
219,N,House,Semi-Detached,2004,NI
220,N,Flat,Unknown,1864,NW
221,N,House,Semi-Detached,1900,NW
222,N,House,Mid Terraced,1880,WM
223,N,House,Mid Terraced,2003,NI
224,N,House,Mid Terraced,,YH
225,N,House,Detached,1980,OS
226,N,House,Semi-Detached,1950,OM
227,N,Flat,Unknown,2005,WM
228,N,House,Detached,1834,OM
229,N,House,Semi-Detached,2005,NI
230,N,House,Mid Terraced,1900,OM
