1,BC001,BTL,N,N,Y,N,N,N
2,BC002,BTL,N,N,Y,N,N,N
3,BC021,BTL,Y,N,N,N,N,N
4,BC029,BTL,Y,N,N,N,N,N
5,BC033,BTL,Y,N,N,N,N,N
6,BFC01,BTL,N,Y,N,N,N,N
7,BFC02,BTL,N,Y,N,N,N,N
8,BFC03,BTL,N,Y,N,N,N,N
9,BFC18,BTL,N,Y,N,N,N,N
10,BFC20,BTL,N,Y,N,N,N,N
11,BFC21,BTL,N,Y,N,N,N,N
12,BFC22,BTL,N,Y,N,N,N,N
13,BFC23,BTL,N,Y,N,N,N,N
14,BFC24,BTL,N,Y,N,N,N,N
15,BFC26,BTL,N,Y,N,N,N,N
16,BFC32,BTL,N,Y,N,N,N,N
17,BFC34,BTL,N,Y,N,N,N,N
18,BFC35,BTL,N,Y,N,N,N,N
19,BFC38,BTL,N,Y,N,N,N,N
20,BFC42,BTL,N,Y,N,N,N,N
21,BFC46,BTL,N,Y,N,N,N,N
22,BFC50,BTL,N,Y,N,N,N,N
23,BFC52,BTL,N,Y,N,N,N,N
24,BFF83,BTL,N,Y,N,N,N,N
25,BFG28,BTL,N,Y,N,N,N,N
26,BFI08,BTL,Y,Y,N,N,N,N
27,BFI15,BTL,Y,Y,N,N,N,N
28,BFI42,BTL,Y,N,N,N,N,N
29,BFI86,BTL,Y,N,N,N,N,N
30,BFI99,BTL,Y,N,N,N,N,N
31,BFL07,BTL,N,Y,N,N,N,N
32,BFL14,BTL,N,Y,N,N,N,N
33,BFL17,BTL,N,Y,N,N,N,N
34,BFL23,BTL,N,Y,N,N,N,N
35,BFL25,BTL,N,Y,N,N,N,N
36,BFL28,BTL,N,Y,N,N,N,N
37,BFL31,BTL,N,Y,N,N,N,N
38,BFL34,BTL,N,Y,N,N,N,N
39,BFL38,BTL,N,Y,N,N,N,N
40,BFL41,BTL,N,Y,N,N,N,N
41,BFL43,BTL,N,Y,N,N,N,N
42,BFL45,BTL,N,Y,N,N,N,N
43,BFL47,BTL,N,Y,N,N,N,N
44,BFL48,BTL,N,Y,N,N,N,N
45,BFL50,BTL,N,Y,N,N,N,N
46,BFL53,BTL,N,Y,N,N,N,N
47,BFL56,BTL,N,Y,N,N,N,N
48,BFL57,BTL,N,Y,N,N,N,N
49,BFL59,BTL,N,Y,N,N,N,N
50,BFL60,BTL,N,Y,N,N,N,N
51,BFL64,BTL,N,Y,N,N,N,N
52,BFL69,BTL,N,Y,N,N,N,N
53,BFL72,BTL,N,Y,N,N,N,N
54,BFL83,BTL,N,Y,N,N,N,N
55,BFL90,BTL,N,Y,N,N,N,N
56,BFL91,BTL,N,Y,N,N,N,N
57,BFL93,BTL,N,Y,N,N,N,N
58,BFL95,BTL,N,Y,N,N,N,N
59,BFL96,BTL,N,Y,N,N,N,N
60,BFL98,BTL,N,Y,N,N,N,N
61,BFZ06,BTL,N,Y,N,N,N,N
62,BLZ01,BTL,Y,N,N,N,N,N
63,BLZ02,BTL,N,N,N,N,N,Y
64,BLZ03,BTL,N,N,Y,N,N,N
65,BLZ12,BTL,N,Y,N,Y,N,N
66,BLZ15,BTL,N,Y,N,Y,N,N
67,BLZ16,BTL,N,Y,N,Y,N,N
68,BLZ17,BTL,N,N,N,N,N,Y
69,BLZ20,BTL,N,Y,Y,N,N,N
70,BLZ21,BTL,N,Y,Y,N,N,N
71,BLZ22,BTL,N,Y,N,N,N,N
72,BLZ23,BTL,N,Y,N,N,N,N
73,BLZ26,BTL,N,Y,N,Y,N,N
74,BLZ27,BTL,N,Y,N,N,N,Y
75,BLZ28,BTL,N,Y,N,N,N,Y
76,BLZ38,BTL,N,Y,N,Y,N,N
77,BLZ40,BTL,N,N,N,N,N,Y
78,BLZ54,BTL,Y,Y,N,N,N,N
79,BLZ55,BTL,Y,Y,N,N,N,N
80,BLZ61,BTL,Y,Y,N,N,N,N
81,BLZ65,BTL,N,Y,N,Y,N,N
82,BLZ66,BTL,Y,Y,N,N,N,N
83,BLZ72,BTL,N,Y,N,Y,N,N
84,BLZ73,BTL,Y,Y,N,N,N,N
85,BLZ75,BTL,Y,Y,N,N,N,N
86,BLZ80,BTL,N,Y,N,Y,N,N
87,BLZ81,BTL,N,Y,N,Y,N,N
88,BLZ86,BTL,Y,N,N,N,N,N
89,BLZ87,BTL,N,Y,Y,N,N,N
90,BLZ88,BTL,N,Y,Y,N,N,N
91,BLZ89,BTL,N,Y,Y,N,N,N
92,BLZ90,BTL,N,Y,N,Y,N,N
93,BLZ91,BTL,N,Y,N,N,N,N
94,BLZ93,BTL,N,Y,N,Y,N,N
95,BLZ94,BTL,N,Y,N,Y,N,N
96,BLZ95,BTL,N,N,N,Y,N,N
97,BLZ96,BTL,N,Y,Y,N,N,N
98,BLZ98,BTL,Y,N,N,N,N,N
99,BOI05,BTL,Y,Y,N,N,N,N
100,BOI12,BTL,Y,Y,N,N,N,N
101,BOI14,BTL,Y,Y,N,N,N,N
102,BS007,BTL,N,N,Y,N,N,N
103,BS010,BTL,N,N,Y,N,N,N
104,BS030,BTL,Y,N,N,N,N,N
105,BS048,BTL,Y,N,N,N,N,N
