product_type,total_accounts,total_balance
BTL,1214,113651974.74
Commercial,1,261249.73
"Credit Impaired",13,1107697.65
Deedsafe,1,166290.75
"Equity Release",18,1803613.85
"Self Cert",22,2013126.15
"Special First Time Buyer",8,591822.71
Standard,8525,1325916131.78
